COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARZO DE 2024; CON LA INFORMACIÓN SUMINISTRADA POR LAS OFICINAS REGIONALES 

 ESTACIÓN  : 26024 
 NOMBRE    : PRESA ADOLFO RUIZ CORTINEZ -CORTINA- 
 ESTADO    : SONORA 
 MUNICIPIO : ÁLAMOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.24888889 ° 
 LONGITUD  : -109.0583333 ° 
 ALTITUD   : 144 msnm 

EMISIÓN   : 22/03/2024



FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1955-07-22	0	NULO	36.3	NULO
1965-01-06	0	2.3	27.5	12.5
1965-01-07	4	1.4	27.5	13.5
1965-01-08	0	3.1	24.5	15.5
1965-01-09	0	2.75	26.5	13
1965-01-10	0	3.65	26.5	11
1965-01-11	0	3.65	25.5	12.5
1965-01-12	0	4.2	21.5	11.5
1965-01-13	0	3.45	23.5	13.5
1965-01-14	0	3.8	28.5	13.5
1965-01-15	0	2.3	28.5	14.5
1965-01-16	0	3.4	25.5	13.5
1965-01-17	0	2.7	24	16.5
1965-01-18	0	5.5	32.5	16.5
1965-01-19	0	7.35	29.5	16.5
1965-01-20	2.5	0.7	21.5	16
1965-01-21	0	3.3	21.5	15.5
1965-01-22	0	4.8	22.5	13
1965-01-23	0	4.85	25.5	11.5
1965-01-24	0	6.65	24.5	12.5
1965-01-25	0	5.9	26.5	11.5
1965-01-26	0	5	28.5	11.5
1965-01-27	0	6.15	28.5	10.5
1965-01-28	0	5.65	28.5	10.2
1965-01-29	0	5.96	27.8	10.5
1965-01-30	0	5.79	28.5	10.5
1965-01-31	0	6.55	27.5	11
1965-02-01	0	4.4	26.5	10.5
1965-02-02	4.5	2.17	24	12.5
1965-02-03	0	1.31	22	13.5
1965-02-04	0	3.4	25	13.5
1965-02-05	0	3.74	26.5	14
1965-02-06	20.5	6.38	27.5	14.5
1965-02-07	14.5	3.2	18.5	14.5
1965-02-08	1.5	1.9	22.5	14.5
1965-02-09	0	3.8	20.5	10
1965-02-10	0	6.7	19.5	9.2
1965-02-11	0	5.75	19.5	9
1965-02-12	0	3.2	21.5	9.5
1965-02-13	0	6.55	20	8.5
1965-02-14	0	6.6	19.5	8
1965-02-15	0	4.35	21.5	7.5
1965-02-16	0	4.9	21.5	7.5
1965-02-17	0	4.95	25.5	8.5
1965-02-18	0	5.3	26.5	9.5
1965-02-19	0	6.65	29.5	10.5
1965-02-20	0	8.35	29.5	12.5
1965-02-21	0	6.8	29.5	12
1965-02-22	0	6.05	28.5	12.5
1965-02-23	0	7.8	27.5	12
1965-02-24	0	6.55	26.5	10.5
1965-02-25	0	5.9	30	10
1965-02-26	0	6.5	30.5	11.5
1965-02-27	0	6.9	34.5	13.5
1965-02-28	0	6.15	29.5	12.5
1965-03-01	0	5.95	26.5	12
1965-03-02	0	6.6	26.5	12.5
1965-03-03	0	6.2	27.5	9.5
1965-03-04	0	7.9	25.5	9.5
1965-03-05	0	7.8	27.5	8.5
1965-03-06	0	8.4	28.5	9.5
1965-03-07	0	8.05	29.5	9.5
1965-03-08	0	6.75	30.5	11.5
1965-03-09	0	7.35	32.5	12.5
1965-03-10	3.5	6.85	30.5	12.5
1965-03-11	0	6.8	29.5	13
1965-03-12	0	4.7	25.5	12.5
1965-03-13	0	4.75	26.5	11.5
1965-03-14	0	6.6	27.5	11
1965-03-15	0	4.55	24.5	11.5
1965-03-16	0	9.4	26.5	10.5
1965-03-17	0	8.8	28	11
1965-03-18	0	8.45	28.5	10.5
1965-03-19	0	6.3	29.5	11.5
1965-03-20	0	8.45	29.5	11.5
1965-03-21	0	8.9	31.5	12.5
1965-03-22	0	6.8	29.5	13
1965-03-23	0	6.8	30.5	12.5
1965-03-24	0	7.1	31.5	13
1965-03-25	0	8.3	28	13.5
1965-03-26	0	7.3	31.5	12.5
1965-03-27	0	7.6	29.5	13.5
1965-03-28	0	6.6	29.5	13
1965-03-29	0	6.7	28.5	13.5
1965-03-30	0	7.35	29.5	13.5
1965-03-31	0	7.45	31	13.5
1965-04-01	0	5.45	27.5	15.5
1965-04-02	0	6.8	26.5	17.2
1965-04-03	0	6.75	28.5	16.5
1965-04-04	0	7.35	29.5	15.5
1965-04-05	0	7.85	28.5	15
1965-04-06	0	6.9	26.5	13.5
1965-04-07	0	7.4	27.5	13
1965-04-08	0	6.4	26.5	13.5
1965-04-09	0	7.25	29.5	13.5
1965-04-10	0	6.65	29.5	12.5
1965-04-11	0	6.65	28.5	13.5
1965-04-12	0	8.15	29.5	13
1965-04-13	0	7.3	29	13.5
1965-04-14	0	9.15	34.5	13.5
1965-04-15	0	7.5	34.5	14.5
1965-04-16	0	9.45	33.5	14.5
1965-04-17	0	8.7	34.5	15.5
1965-04-18	0	8.2	34.5	15.5
1965-04-19	0	14.3	37.5	15.5
1965-04-20	0	13.1	38.5	16.5
1965-04-21	0	12.25	39.5	18.2
1965-04-22	0	10.35	37.5	18.5
1965-04-23	0	9.6	35	18.5
1965-04-24	0	12.45	34.5	18.5
1965-04-25	0	9.6	35.5	17.5
1965-04-26	0	12.25	33.5	16.5
1965-04-27	0	10.65	34.5	17.5
1965-04-28	0	12.4	35.5	16.5
1965-04-29	0	12.9	35	18.5
1965-04-30	0	12.2	38.5	18.5
1965-05-01	0	12.5	38.5	20.5
1965-05-02	0	11.8	38.5	23
1965-05-03	0	11.9	31.5	22.5
1965-05-04	0	11.25	31	18.5
1965-05-05	0	10.45	32.5	16.5
1965-05-06	0	13.25	34.5	17.5
1965-05-07	0	11.6	34.5	14.8
1965-05-08	0	12.65	32.5	16.5
1965-05-09	0	11.75	33.5	15.5
1965-05-10	0	13.5	34	16.5
1965-05-11	0	10.4	35.5	14.5
1965-05-12	0	12.2	35.2	15.5
1965-05-13	0	11.9	34.5	16.5
1965-05-14	0	12.05	33.5	15.5
1965-05-15	0	12.25	32.5	16.5
1965-05-16	0	12.15	32.5	16.5
1965-05-17	0	12.1	34.5	16.5
1965-05-18	0	13.5	36.5	17.5
1965-05-19	0	11.4	36.5	18.5
1965-05-20	0	12.5	37.5	20.8
1965-05-21	0	12.55	37.5	20.5
1965-05-22	0	NULO	36.5	21.5
1965-05-23	0	13.1	36.5	17.5
1965-05-24	0	13.2	37.5	16.2
1965-05-25	0	13.35	35.5	16.5
1965-05-26	0	11.5	36.5	16.5
1965-05-27	0	12.95	35.5	16.5
1965-05-28	0	13.15	38.5	18.5
1965-05-29	0	13.4	37.5	20.5
1965-05-30	0	12.85	36.5	20
1965-05-31	0	13.45	36.5	19.5
1965-06-01	0	14.5	38.5	17.5
1965-06-02	0	14.45	40.5	18.5
1965-06-03	0	12.65	40	17
1965-06-04	0	12.25	37	16.5
1965-06-05	0	11.6	37	16
1965-06-06	0	13.15	40	17.5
1965-06-07	0	12	39.5	18
1965-06-08	0	12.65	40.5	18
1965-06-09	0	13.25	39.5	21.5
1965-06-10	0	13.4	37.5	20
1965-06-11	0	11.7	38.5	19.5
1965-06-12	0	13.2	38	20.5
1965-06-13	0	11.1	38	20
1965-06-14	0	12.1	38.5	21
1965-06-15	0	10.1	37.5	19
1965-06-16	0	11.8	37.5	22
1965-06-17	0	11.15	36	20
1965-06-18	0	10.25	37	20
1965-06-19	0	11.7	37	20
1965-06-20	0	12	37.5	22.5
1965-06-21	0	12.25	38.5	22.5
1965-06-22	0	11.35	39	23.5
1965-06-23	0	12.65	39	27.5
1965-06-24	0	13.1	40	25.5
1965-06-25	0	13.6	40	25
1965-06-26	0	12.9	40	25
1965-06-27	0	14.35	41.5	23.5
1965-06-28	0	13.8	41	24.5
1965-06-29	11	10.2	39	25
1965-06-30	0	9.6	38	24.5
1965-07-01	2.2	10.65	38.8	25.5
1965-07-02	0	9.7	39.5	25.2
1965-07-03	0	11.2	39.5	26.5
1965-07-04	0	12.7	40.5	25.5
1965-07-05	0	13	40	28
1965-07-06	0	10.6	38.5	28
1965-07-07	1.5	5.95	38	26.8
1965-07-08	3.4	9.05	38	24
1965-07-09	0.8	8.2	37.5	23.5
1965-07-10	0	5.45	41	24
1965-07-11	0	9.9	41.2	25
1965-07-12	2	7.98	39	27.5
1965-07-13	0	9.7	40.5	24
1965-07-14	0	8.45	41	24.5
1965-07-15	0.3	7.8	40	25
1965-07-16	1.5	3.1	33.5	24
1965-07-17	0	6.4	37.5	23.5
1965-07-18	0	9.9	41.5	24.5
1965-07-19	0.2	9.9	41.6	27
1965-07-20	52	9.9	39	24.5
1965-07-21	1	7.15	35.5	20
1965-07-22	0	7.65	35.6	23.5
1965-07-23	0.5	6.1	36	23.5
1965-07-24	6.8	8.9	35.5	24
1965-07-25	0	6	36	22.5
1965-07-26	0	5	35.5	25
1965-07-27	1.1	7.45	37.5	24
1965-07-28	35.5	7.4	38	23.5
1965-07-29	0	7.1	36.5	21.5
1965-07-30	0	7.75	39.5	24.5
1965-07-31	2	6.25	37.5	25.5
1965-08-01	0.8	10.15	37.5	26.5
1965-08-02	0	5.8	37.5	26.5
1965-08-03	34.2	13.15	36.5	25.5
1965-08-04	2	12.4	33.5	22.5
1965-08-05	32.3	9.4	34.5	23.5
1965-08-06	0.5	6.35	33	21
1965-08-07	0.2	6.89	34	20.5
1965-08-08	0	9.36	34.5	24.5
1965-08-09	22.8	5.33	34	23
1965-08-10	29.3	10.43	34	23.5
1965-08-11	1	6.3	32	21.5
1965-08-12	8	5.8	34	22.5
1965-08-13	0	9.23	35	22
1965-08-14	0	5.1	33.5	22.5
1965-08-15	0	4.66	34	23
1965-08-16	28.3	7.85	32	25.5
1965-08-17	13	6.52	32.5	23
1965-08-18	0	5.23	30	22
1965-08-19	0	6.33	31	23.5
1965-08-20	0.3	6.93	34	22.5
1965-08-21	1.3	5.52	33	23.5
1965-08-22	78	2.25	33	23
1965-08-23	0.5	2.73	30	22
1965-08-24	0	6.23	32	23
1965-08-25	0	6.2	34	23.5
1965-08-26	0	7.1	34.5	24
1965-08-27	0	6.3	35	25.5
1965-08-28	0	6.86	35	25.5
1965-08-29	0.5	8.3	36	24.5
1965-08-30	0	6.75	33	24.5
1965-08-31	5	6.25	33.5	24.5
1965-09-01	6	3.6	31.5	24
1965-09-02	16.8	8.8	32.5	24.5
1965-09-03	0	6.4	33	23
1965-09-04	0	5.5	34.5	23
1965-09-05	0	6.6	34.5	23.5
1965-09-06	0	7.65	34	23
1965-09-07	0	6.25	34	24
1965-09-08	0	6.15	35.5	24
1965-09-09	1.4	7.15	36	23
1965-09-10	0	5.85	35.5	23.5
1965-09-11	13.4	7.35	35.5	23
1965-09-12	0	3.8	31.5	23
1965-09-13	0	6.5	36	23.5
1965-09-14	19	9.35	36.5	25.5
1965-09-15	0	5.9	34	21.5
1965-09-16	0	6.35	34	23.5
1965-09-17	0	5.6	32	24
1965-09-18	0	5.65	32.5	23.5
1965-09-19	0	5.2	33	24
1965-09-20	0	7.4	35	23
1965-09-21	0	7.8	34.5	20
1965-09-22	0	7.3	35	19.5
1965-09-23	0	8.2	35	21.5
1965-09-24	19.6	8.3	36	22
1965-09-25	0	6.05	34	21
1965-09-26	0	7.15	34.5	23
1965-09-27	1.2	5.15	34	23
1965-09-28	0	4.95	33	24.5
1965-09-29	0	6.8	33.5	24.5
1965-09-30	0	8.05	35	21
1965-10-01	0	7.85	36	19
1965-10-02	0	8.3	36	19
1965-10-03	0	8.15	38	19
1965-10-04	0	8.4	38	21
1965-10-05	0	7.7	37	18.5
1965-10-06	0	7.75	36.5	20.5
1965-10-07	0	7.85	37	20
1965-10-08	0	6.9	37.5	21
1965-10-09	0	6.11	37	21
1965-10-10	0	7.91	37	22
1965-10-11	0	6.14	37	23
1965-10-12	0	6.83	37.5	22.5
1965-10-13	0	7.4	37	23
1965-10-14	0	5.99	36.5	23.5
1965-10-15	0	4.48	34	23.5
1965-10-16	0	6.45	32	23.5
1965-10-17	0	6.77	31	19.5
1965-10-18	0	7.63	33	16.5
1965-10-19	0	7.7	35.5	17.5
1965-10-20	0	6.39	36	17.5
1965-10-21	0	6.7	39	18
1965-10-22	0	8.6	37.5	20
1965-10-23	0	8.14	38	19.5
1965-10-24	0	8.23	38.5	19.5
1965-10-25	0	3.85	38	18.5
1965-10-26	0	11.14	38.5	19
1965-10-27	0	7.6	38.5	18.5
1965-10-28	0	7.92	38	18
1965-10-29	0	7.06	36.5	18
1965-10-30	0	6.48	37	18
1965-10-31	0	6.28	36	18
1965-11-01	10.3	5.74	35	19.5
1965-11-02	0	2.21	31	17.5
1965-11-03	0	5.79	32.5	19.5
1965-11-04	0	5.15	30.5	19.5
1965-11-05	0	6.64	36	18.5
1965-11-06	0	5.83	34	18.5
1965-11-07	0	2.52	29	19
1965-11-08	0	4.29	33	16.5
1965-11-09	0	4.84	32	16.5
1965-11-10	0	5.98	34	17
1965-11-11	0	5.49	32	16.5
1965-11-12	0	6.09	33	15.5
1965-11-13	0	6.38	33.5	16
1965-11-14	0	4.52	31	16
1965-11-15	0	6.3	33	16.5
1965-11-16	0	4.72	33.5	17
1965-11-17	0	6.21	33.5	16.5
1965-11-18	0	5.87	33	16
1965-11-19	0	4.81	35	16.5
1965-11-20	0	5.74	33.5	16
1965-11-21	0	5.43	32	16.5
1965-11-22	0	5.08	33	16
1965-11-23	0	5.45	33	18.5
1965-11-24	0	5.76	35	16.5
1965-11-25	0	5.2	33	17
1965-11-26	0	5.21	33	17.5
1965-11-27	0	6.42	30	17
1965-11-28	0	5.95	30	17
1965-11-29	0	5.87	28	15
1965-11-30	0	3.27	28	15
1965-12-01	0	3.36	24	15
1965-12-02	0	3.52	28	13
1965-12-03	0	5.8	31	14
1965-12-04	0	5.9	32	13
1965-12-05	0	5.52	33	13
1965-12-06	0	5.46	31	13.5
1965-12-07	1	4.52	33	16
1965-12-08	0	3.7	28	17
1965-12-09	10	1.93	25	18.5
1965-12-10	4	1.72	24	18.5
1965-12-11	0	2.65	21	17.5
1965-12-12	0	2.1	21	16.5
1965-12-13	3	1.6	19	16
1965-12-14	8	1.77	19	14.5
1965-12-15	0	1.53	21.5	14.5
1965-12-16	0.7	2.78	23.5	13
1965-12-17	0	1.32	18	13
1965-12-18	0	3.3	21.5	11
1965-12-19	0	3.7	23.5	11.5
1965-12-20	0	3.55	26	9.5
1965-12-21	0	3.4	22	10
1965-12-22	25	1.8	20	14.5
1965-12-23	0	2.85	21	15
1965-12-24	0	3.6	22.5	10
1965-12-25	0	3.5	21.5	10
1965-12-26	0	3.82	25	11
1965-12-27	0	4.48	27	11.5
1965-12-28	0	4.6	27.5	12.5
1965-12-29	0	3.7	30	13
1965-12-30	0	2.15	28	14
1965-12-31	1	1.9	29	15
1966-01-01	0	2.2	24	14.5
1966-01-02	0	4.4	24.5	11
1966-01-03	0	4.2	22.5	10
1966-01-04	0	3.4	21	10
1966-01-05	0	3.2	20	10
1966-01-06	0	2.9	25	10
1966-01-07	0	3.8	29	10
1966-01-08	0	4.7	31	10
1966-01-09	0	4.5	30	13
1966-01-10	0	4.4	29.5	13.5
1966-01-11	0	3.3	21	13.5
1966-01-12	0	3.1	25	13.5
1966-01-13	0	4.3	27	13
1966-01-14	0	3.6	21	13
1966-01-15	0	3.5	24	10.5
1966-01-16	0	3.2	21	11
1966-01-17	0	3.4	22	11.5
1966-01-18	0	2.8	23	15
1966-01-19	0	2.8	21	12
1966-01-20	0	3.6	23	9
1966-01-21	0	2.8	22.5	9
1966-01-22	0	3.6	23	10
1966-01-23	0	2.3	20	11.5
1966-01-24	0	2.7	21	11
1966-01-25	0	2.9	22	9
1966-01-26	0	3	23	8
1966-01-27	2.5	5.6	27	8
1966-01-28	0	2.7	22	8.5
1966-01-29	0	2.8	23	9
1966-01-30	0	3.1	25	9
1966-01-31	0	3.9	24.5	9
1966-02-01	0	3.7	24	10
1966-02-02	0	5.1	27	10
1966-02-03	0	5.6	29	10
1966-02-04	0	4.5	30	10.5
1966-02-05	0	5.3	31	10.5
1966-02-06	0	4.2	28	11
1966-02-07	21	3.2	27.5	10
1966-02-08	12	4.6	19	13
1966-02-09	0	3.6	19	10
1966-02-10	0	3.2	19	7.5
1966-02-11	0	2.6	20	7
1966-02-12	0	4	22	7
1966-02-13	0	3.6	24	7
1966-02-14	0	3.4	24	8
1966-02-15	0	4	24.5	10
1966-02-16	0	4.9	25	9
1966-02-17	0	5	25.5	9.5
1966-02-18	0	4.9	26	9.5
1966-02-19	0	4.9	27.5	9
1966-02-20	0	4.9	29	10.5
1966-02-21	0	5.1	29	11
1966-02-22	0	4.8	29	11
1966-02-23	0	4.9	28.5	12
1966-02-24	0	5.6	28	12
1966-02-25	0	5.2	26	12.5
1966-02-26	0	6	26	10
1966-02-27	0	5.6	25	9.5
1966-02-28	NULO	3.2	27	9.5
1966-03-01	0	5.2	26	9.6
1966-03-02	0	5.7	26	12
1966-03-03	0	6.2	27	10
1966-03-04	0	6	28	8.5
1966-03-05	0	6.1	29.5	8
1966-03-06	0	5.1	28	9
1966-03-07	0	7	30.5	9
1966-03-08	0	7.7	31.5	13
1966-03-09	0	7.8	33	13
1966-03-10	0	8	35	13
1966-03-11	0	6.1	33	12.5
1966-03-12	0	5.9	33	13.5
1966-03-13	0	7	34	13
1966-03-14	0	6.5	34	14
1966-03-15	0	7	32	13
1966-03-16	0	6	32	14
1966-03-17	0	7.4	33	14
1966-03-18	0	7.6	33	14
1966-03-19	0	8	34	15
1966-03-20	0	8	34.5	14
1966-03-21	0	8.5	34	13
1966-03-22	0	7.7	33.5	12.5
1966-03-23	0	8.1	34.5	14.5
1966-03-24	0.5	3.9	39.5	14.5
1966-03-25	0	6.9	33	16.5
1966-03-26	0	8.3	28	13.5
1966-03-27	0	8	28	13
1966-03-28	0	6.4	29	13
1966-03-29	0	7.4	31.5	13
1966-03-30	0.2	9	32	13
1966-03-31	0	8.6	32.5	14.5
1966-04-01	0.2	4.9	29	18.5
1966-04-02	0	8.9	29	19.5
1966-04-03	0	8.8	29	19
1966-04-04	0	9.2	30.5	19
1966-04-05	0	9	32	17.5
1966-04-06	0	6.7	32	18
1966-04-07	1.8	6.9	30.5	19
1966-04-08	0	6.6	33	18.5
1966-04-09	0	9.4	35	20
1966-04-10	0	10.4	33	20.5
1966-04-11	0	10.6	32.5	17.5
1966-04-12	0	8.3	33	17.5
1966-04-13	0	9.5	32	16.5
1966-04-14	0	10.4	33	17
1966-04-15	0	10.3	33	18
1966-04-16	0	11.3	33.5	17
1966-04-17	0	9	32	16
1966-04-18	0	9.2	32	16
1966-04-19	0	9.5	30	17
1966-04-20	0	10.2	31	16
1966-04-21	0	11	31.5	16
1966-04-22	0	8.7	30.5	16.5
1966-04-23	0	8.7	30.5	17
1966-04-24	0	8.3	31.5	16
1966-04-25	0	10.2	35.5	16.5
1966-04-26	0	11.7	35	19.5
1966-04-27	0	11.8	35.5	19.5
1966-04-28	0	11.6	35	18.5
1966-04-29	0	7.2	33	19
1966-04-30	NULO	12	35	19
1966-05-01	0	11	35.5	18
1966-05-02	0	10.7	37	18.5
1966-05-03	0	13.1	37.5	20
1966-05-04	0	11.7	38	20.5
1966-05-05	0	11.2	37.5	20.5
1966-05-06	0	12.9	37	21
1966-05-07	0	12.5	37	22
1966-05-08	0	12.5	37	20
1966-05-09	0	10.4	37	19.5
1966-05-10	0	10.9	32.5	17.5
1966-05-11	0	11.8	33	17
1966-05-12	0	9.1	33	18
1966-05-13	0	11	36	17
1966-05-14	0	11.5	37.5	19
1966-05-15	0	8.7	37	21
1966-05-16	0	10.3	36	23
1966-05-17	0	8.7	36.5	24
1966-05-18	0	12.8	39	23.5
1966-05-19	0	13.3	38	24
1966-05-20	0	12.1	39	23
1966-05-21	0	13.2	39	23.5
1966-05-22	0	13	39.5	24
1966-05-23	0	12.9	38.5	24.5
1966-05-24	0	12.9	40.5	21.5
1966-05-25	0	13.9	40.5	20
1966-05-26	0	13.5	28	21.5
1966-05-27	0	11	38	21
1966-05-28	0	13.1	38	22
1966-05-29	0	13.4	39	22.5
1966-05-30	0	13.7	42	23
1966-05-31	0	12.7	40	24
1966-06-01	0	12.5	39	24
1966-06-02	0	12.4	40.5	24
1966-06-03	0	11.8	39	25
1966-06-04	0	11	39.5	24.5
1966-06-05	0	11.6	40	24.5
1966-06-06	0	13.3	39.2	24.5
1966-06-07	0	13.5	40	24
1966-06-08	0	14	41	23.5
1966-06-09	0	13.3	38	23
1966-06-10	0	13.1	37.5	21
1966-06-11	0	12.2	38.5	21
1966-06-12	0	12.6	38	22
1966-06-13	0	13.2	38	23.5
1966-06-14	0	14.9	42	23.5
1966-06-15	0	12.5	39	26.5
1966-06-16	0	13.1	39	26.5
1966-06-17	0	13.1	40	25.5
1966-06-18	0	14	41	25.5
1966-06-19	0	11.3	39.8	26
1966-06-20	0	12.4	39	27
1966-06-21	0	13.2	40	27.2
1966-06-22	0	13.7	41.5	26.3
1966-06-23	0	14.1	42	24.5
1966-06-24	0	13.7	41	25
1966-06-25	8	11.9	40	24
1966-06-26	0	7.2	37	24.5
1966-06-27	11	11.6	38.8	25.5
1966-06-28	1	7	38	23
1966-06-29	0	11.8	38	25
1966-06-30	0	12.4	38	27
1966-07-01	0	12.7	39	26.1
1966-07-02	0	13	38	27.9
1966-07-03	0	10.9	38.5	27.5
1966-07-04	0.8	10.4	39.5	27
1966-07-05	0	9.1	38	25.5
1966-07-06	1.5	9	37	25.5
1966-07-07	0.4	7	36.5	24
1966-07-08	0	10	38	25
1966-07-09	0	11.6	41	25.2
1966-07-10	0	12.5	40	26.2
1966-07-11	0	12.5	41.5	26
1966-07-12	3	12.6	41.2	27
1966-07-13	1.5	11.4	40	22
1966-07-14	0	10.5	39.5	25
1966-07-15	16.5	14.1	40.5	26
1966-07-16	0	9.6	39.5	24.2
1966-07-17	0.2	12	38.8	25
1966-07-18	0.4	7.6	36.5	25.2
1966-07-19	0.3	6.5	34.5	23.2
1966-07-20	30.5	6.6	37	24.1
1966-07-21	0	11.1	35.8	22
1966-07-22	0	7.7	36	25
1966-07-23	12	8.3	36	26
1966-07-24	0	7.3	38	22
1966-07-25	0	7.7	37	24.5
1966-07-26	72.5	11.4	37	25.5
1966-07-27	19	3.2	28	23
1966-07-28	0	5.1	33	24
1966-07-29	0	6.8	34	24.5
1966-07-30	0	8.9	37	25
1966-07-31	3.5	8	36.5	24.5
1966-08-01	0	6.8	38	23.2
1966-08-02	1	7.2	36	24
1966-08-03	0	5.3	36	24.5
1966-08-04	7.5	6.8	36	26
1966-08-05	0	4.3	33	24
1966-08-06	0	5.5	33	24.5
1966-08-07	0	5.9	33.5	25.8
1966-08-08	2.5	9.8	38	26
1966-08-09	25	6.2	35	25
1966-08-10	5.5	4.9	33	23
1966-08-11	1.5	5.2	32	23
1966-08-12	10.5	4.4	34	24
1966-08-13	0	5.9	35	24
1966-08-14	4	5.3	34	24
1966-08-15	28.5	4.2	31	24
1966-08-16	14	5.5	33	24
1966-08-17	0	6.4	30	24
1966-08-18	2.5	5.7	34	25
1966-08-19	0	5.8	34.8	24
1966-08-20	0	7.6	35	24.2
1966-08-21	11	7.8	38	24.2
1966-08-22	14.5	4.5	33.5	23.2
1966-08-23	2.5	3.5	38	23
1966-08-24	0	6.7	34	24
1966-08-25	8.5	6.4	35	24
1966-08-26	0.2	2.4	31	23
1966-08-27	2	2	30.5	23.5
1966-08-28	0	6.8	34	24
1966-08-29	0	6.2	34	24
1966-08-30	0	6	34.5	24.2
1966-08-31	12	5.4	33	24
1966-09-01	0	5.9	35	24
1966-09-02	0	6.9	36	24.2
1966-09-03	0	7	37.8	24
1966-09-04	0	8.5	38	24
1966-09-05	0	6	36	25.7
1966-09-06	2.5	6.8	37.2	24.5
1966-09-07	0	7.7	38.2	23
1966-09-08	0	7.5	40.9	24
1966-09-09	0	7.8	38	25.3
1966-09-10	28	6.9	36.3	23.2
1966-09-11	0	4.3	30	24
1966-09-12	0	5	34	21.5
1966-09-13	0	5.4	36	22.3
1966-09-14	0	6.3	35	24.2
1966-09-15	0	3.1	35	25
1966-09-16	0	6.3	35.8	25
1966-09-17	0	5.5	37	25
1966-09-18	0	7.8	37.6	25.7
1966-09-19	11.5	8.7	38	25
1966-09-20	0	6.1	36	23
1966-09-21	0	7	39.3	24
1966-09-22	0	8.1	41	24
1966-09-23	0	7.6	39	24.2
1966-09-24	0	7.6	37.2	24.4
1966-09-25	0	7.2	36.2	25.3
1966-09-26	0	7.3	38.3	23.6
1966-09-27	0.2	6	36	24
1966-09-28	25.2	2.2	26	24
1966-09-29	0	6	32	22.2
1966-09-30	0	6	32.5	23
1966-10-01	0	6.5	33	22
1966-10-02	0	7.3	33.2	21
1966-10-03	0	5.9	32	21.8
1966-10-04	0	6.7	32.5	20
1966-10-05	0	7.7	34	20.2
1966-10-06	0	4.5	32	21
1966-10-07	0	8.8	35	23
1966-10-08	0	6.7	35	21.2
1966-10-09	0	5.9	36.5	21.2
1966-10-10	0	7.1	35.7	21.8
1966-10-11	0	7.3	35.9	21.2
1966-10-12	0	6.8	34	19
1966-10-13	0	5.6	33	17
1966-10-14	0	5.9	34	18
1966-10-15	0	7.5	36	17.5
1966-10-16	0	6.7	34.2	18
1966-10-17	0	7.3	34	18
1966-10-18	0	7.1	36	17.5
1966-10-19	0	8.1	37.1	18
1966-10-20	0	8.1	37	19
1966-10-21	0	7.8	35	20
1966-10-22	0	7.7	36	23
1966-10-23	0	7.9	35	20
1966-10-24	0	8.2	35.1	20
1966-10-25	0	7.8	36.5	19.8
1966-10-26	0	8.1	37	20.2
1966-10-27	0	8.1	37.5	21.5
1966-10-28	0	8	37	20
1966-10-29	0	8	36.8	20
1966-10-30	0	8	37.2	19.2
1966-10-31	0	8.3	36.5	19
1966-11-01	0	7.8	37	18
1966-11-02	0	7.6	36	18.2
1966-11-03	0	7.5	35.2	18
1966-11-04	0	5.8	34	18.1
1966-11-05	0	6.3	33	18
1966-11-06	0	6.2	33.2	19.5
1966-11-07	0	5.4	31	19
1966-11-08	0	5.8	30	18.2
1966-11-09	0	5.9	29	18
1966-11-10	0	6	29.8	15.2
1966-11-11	0	5.1	29.5	16
1966-11-12	0	6	31.5	15.3
1966-11-13	0	6.5	32	16.2
1966-11-14	0	6.2	33.5	16
1966-11-15	0	5.4	33	17
1966-11-16	0	5.9	33.7	18
1966-11-17	0	7.5	35	17.5
1966-11-18	0	7.5	33.5	18
1966-11-19	0	7.1	33.6	17.2
1966-11-20	0	7.1	34	17
1966-11-21	0	7	33.8	17
1966-11-22	0	6.5	33	17.1
1966-11-23	0	6.1	31.7	17
1966-11-24	0	5.1	30	17.8
1966-11-25	0	4.5	29.9	18
1966-11-26	0	8.1	31	17
1966-11-27	0	7.1	30	17
1966-11-28	0	6	33	17.5
1966-11-29	0	7.3	33	17
1966-11-30	0	7	32.8	15
1966-12-01	0	6.2	32	15
1966-12-02	0	5	31.5	15
1966-12-03	0	5	30	14.5
1966-12-04	0	5.3	29	14.8
1966-12-05	0	4.3	28	13
1966-12-06	0	4.8	29.7	15
1966-12-07	0	4.7	27.7	15
1966-12-08	0	4.8	27	14.2
1966-12-09	0	5	25.5	12
1966-12-10	0	5.7	27	12
1966-12-11	0	6	28	12.5
1966-12-12	0	6.5	28.5	12
1966-12-13	0	6.2	29	13
1966-12-14	0	6.4	28	13
1966-12-15	0	5.4	29	12
1966-12-16	0	5.4	29	13
1966-12-17	0	6.6	30	12
1966-12-18	0	5.5	28.8	12.2
1966-12-19	0	6	28	12
1966-12-20	0	2.8	22	12
1966-12-21	0	3.5	25	14.2
1966-12-22	0	3.8	25	17
1966-12-23	0	2.7	26	15
